Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration FOR_APPROVAL by PRE_APPROVER to Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';;;D
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration FOR_APPROVAL by PRE_APPROVER;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by PRE_APPROVER';00:02:50;;A
Total time for Declaration FOR_APPROVAL by PRE_APPROVER in cases where the next activity is Declaration REJECTED by PRE_APPROVER;The sum of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER occurs;;;D
Average waiting time to Declaration FOR_APPROVAL by PRE_APPROVER after Declaration APPROVED by ADMINISTRATION;The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FOR_APPROVAL by PRE_APPROVER';;;D
Minimum time from Declaration FOR_APPROVAL by PRE_APPROVER to Request Payment;The minimum of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Request Payment';;;D
Total resolution time of Declaration FOR_APPROVAL by PRE_APPROVER in cases leading to Payment Handled;The sum of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Payment Handled';;;D
Average time it takes Declaration FOR_APPROVAL by PRE_APPROVER after Declaration REJECTED by EMPLOYEE;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by PRE_APPROVER';;;D
Minimum time it takes the Declaration FOR_APPROVAL by PRE_APPROVER to be done before Declaration APPROVED by BUDGET OWNER;The minimum of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Declaration APPROVED by BUDGET OWNER';;;D
Total time from Declaration FOR_APPROVAL by PRE_APPROVER to Declaration REJECTED by PRE_APPROVER;The sum of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Declaration REJECTED by PRE_APPROVER';;;D
Average time for Declaration FOR_APPROVAL by PRE_APPROVER in cases that were eventually approved by any role;"ERROR: computing metric {'begin': ""activity == 'Declaration FOR_APPROVAL by PRE_APPROVER'"", 'end': '', 'aggregation': 'average', 'filter': ""activity == 'Declaration APPROVED by ADMINISTRATION' or activity == 'Declaration APPROVED by BUDGET OWNER' or activity == 'Declaration APPROVED by PRE_APPROVER' or activity == 'Declaration FINAL_APPROVED by SUPERVISOR'""}";;;C
Total time for Declaration FOR_APPROVAL by PRE_APPROVER grouped by org:role;The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and the end of case grouped by the last value of org:role;ADMINISTRATION:NaT;"{""ADMINISTRATION"":null,""EMPLOYEE"":null,""MISSING"":357046000,""SUPERVISOR"":null,""UNDEFINED"":null}";A
Total time for Declaration FOR_APPROVAL by PRE_APPROVER grouped by org:role;The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and the end of case grouped by the last value of org:role;EMPLOYEE:NaT;"{""ADMINISTRATION"":null,""EMPLOYEE"":null,""MISSING"":357046000,""SUPERVISOR"":null,""UNDEFINED"":null}";A
Total time for Declaration FOR_APPROVAL by PRE_APPROVER grouped by org:role;The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and the end of case grouped by the last value of org:role;MISSING:4 days 03:10:46;"{""ADMINISTRATION"":null,""EMPLOYEE"":null,""MISSING"":357046000,""SUPERVISOR"":null,""UNDEFINED"":null}";A
Total time for Declaration FOR_APPROVAL by PRE_APPROVER grouped by org:role;The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and the end of case grouped by the last value of org:role;SUPERVISOR:NaT;"{""ADMINISTRATION"":null,""EMPLOYEE"":null,""MISSING"":357046000,""SUPERVISOR"":null,""UNDEFINED"":null}";A
Total time for Declaration FOR_APPROVAL by PRE_APPROVER grouped by org:role;The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and the end of case grouped by the last value of org:role;UNDEFINED:NaT;"{""ADMINISTRATION"":null,""EMPLOYEE"":null,""MISSING"":357046000,""SUPERVISOR"":null,""UNDEFINED"":null}";A
Minimum resolution time of Declaration FOR_APPROVAL by PRE_APPROVER in cases without Declaration REJECTED by PRE_APPROVER;The minimum of the duration between activity Declaration FOR_APPROVAL by PRE_APPROVER and the end of the case;4 days, 3:10:46;;B
Average time from Declaration FOR_APPROVAL by PRE_APPROVER to Declaration APPROVED by PRE_APPROVER;The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Declaration APPROVED by PRE_APPROVER';;;D
Total time since Declaration FOR_APPROVAL by PRE_APPROVER and Declaration APPROVED by ADMINISTRATION are performed;The sum of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Declaration APPROVED by ADMINISTRATION';;;D
Average time until Declaration FOR_APPROVAL by PRE_APPROVER is performed after Declaration SAVED by EMPLOYEE;The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by PRE_APPROVER';;;D
