Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by EMPLOYEE;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';8 days 19:18:16.757426;;A
Average time from Declaration REJECTED by EMPLOYEE to Declaration SUBMITTED by EMPLOYEE for re-submission;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';6 days 06:36:13.441207;;B
Total time spent on cases with Declaration REJECTED by EMPLOYEE before re-submission;The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';6030 days 10:11:17;;B
Average time between Declaration REJECTED by EMPLOYEE and Declaration APPROVED by ADMINISTRATION in cases where re-submission occurs;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';6 days 02:08:17.277108;;B
Total resolution time of cases involving Declaration REJECTED by EMPLOYEE;The sum of the duration between activity Declaration REJECTED by EMPLOYEE and the end of the case;14814 days 07:41:12;;B
Minimum time from Declaration REJECTED by EMPLOYEE to Declaration FINAL_APPROVED by SUPERVISOR in cases that are eventually approved;The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';0 days 00:01:18;;B
Average time from Declaration REJECTED by EMPLOYEE to Request Payment in successful cases;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Request Payment';11 days 11:08:46.436285;;A
Total time from Declaration REJECTED by PRE_APPROVER to Declaration REJECTED by EMPLOYEE in cases involving both rejections;The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration REJECTED by EMPLOYEE';171 days 01:22:30;;B
Average time from Declaration REJECTED by EMPLOYEE to Declaration APPROVED by PRE_APPROVER in cases that are re-submitted and then approved by PRE_APPROVER;The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';3 days 05:41:40.064935;;B
Minimum time from Declaration REJECTED by EMPLOYEE to Declaration SUBMITTED by EMPLOYEE for cases that are re-submitted after rejection;The minimum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';0 days 00:00:29;;B
Average time it takes for a Declaration REJECTED by EMPLOYEE to be followed by any approval activity;"ERROR: computing metric {'begin': ""activity == 'Declaration REJECTED by EMPLOYEE'"", 'end': ""activity == 'Declaration APPROVED by ADMINISTRATION' or activity == 'Declaration APPROVED by BUDGET OWNER' or activity == 'Declaration APPROVED by PRE_APPROVER' or activity == 'Declaration FINAL_APPROVED by SUPERVISOR'"", 'aggregation': 'average'}";;;C
Total time for all activities to be completed after a Declaration REJECTED by EMPLOYEE in cases that are eventually approved;The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and the end of case where activity 'Declaration FINAL_APPROVED by SUPERVISOR occurs;13938 days 07:09:33;;B
