Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Request Payment';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Request Payment';7 days 23:56:23.468871;;A
Average time from 'Declaration FINAL_APPROVED by SUPERVISOR' to 'Request Payment';The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';3 days 07:02:46.683005;;A
Total time from 'Declaration APPROVED by ADMINISTRATION' to 'Request Payment';The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Request Payment';47647 days 07:48:09;;A
Minimum time from 'Declaration APPROVED by BUDGET OWNER' to 'Request Payment';The minimum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Request Payment';0 days 00:02:19;;A
Average time for 'Request Payment' to be processed after 'Declaration REJECTED by PRE_APPROVER';The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Request Payment';17 days 08:00:59.625000;;A
Total resolution time of 'Request Payment' in cases where 'Declaration REJECTED by PRE_APPROVER' occurred;The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Request Payment';1248 days 01:11:33;;B
Average waiting time to 'Request Payment' after 'Declaration APPROVED by PRE_APPROVER';The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Request Payment';6 days 06:45:13.804545;;B
Total time it takes 'Request Payment' to be done after 'Declaration REJECTED by EMPLOYEE';The sum of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Request Payment';10616 days 01:24:40;;A
Minimum time for 'Request Payment' to be processed in cases without 'Declaration REJECTED by PRE_APPROVER';the minimum of the duration between the first time instant when `ACTIVITY` != 'Declaration REJECTED by PRE_APPROVER' and the last time instant when `ACTIVITY` == 'Request Payment';0 days 00:01:26;;A
Average time it takes from 'Declaration SUBMITTED by EMPLOYEE' to 'Request Payment' in cases leading to 'Payment Handled';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Request Payment';7 days 23:47:30.795038;;A
Total time for 'Request Payment' in variants where 'Declaration APPROVED by ADMINISTRATION' precedes it directly;The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Request Payment';47647 days 07:48:09;;A
Minimum time it takes from 'Declaration REJECTED by ADMINISTRATION' to 'Request Payment' in cases where the declaration is resubmitted and approved;The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Request Payment';0 days 02:02:14;;B
Average time from 'Declaration REJECTED by PRE_APPROVER' to 'Request Payment' in cases where the declaration is resubmitted and finally approved;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Request Payment';12 days 02:36:26.272727;;B
Total time for 'Request Payment' in cases with prior 'Declaration REJECTED by SUPERVISOR';The sum of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Request Payment';2618 days 14:38:22;;A
Minimum resolution time of 'Request Payment' in the process variant ending with 'Payment Handled' without prior rejections;the minimum of the duration between the first time instant when `ACTIVITY` != 'Declaration REJECTED by PRE_APPROVER' and the last time instant when `ACTIVITY` == 'Request Payment' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Payment Handled';0 days 00:01:26;;B
