Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Frequency of 'Declaration SUBMITTED by EMPLOYEE' leading to 'Declaration APPROVED by ADMINISTRATION';Frequency of activity 'Declaration SUBMITTED by EMPLOYEE' for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;7983;;B
Percentage of 'Declaration SUBMITTED by EMPLOYEE' followed by 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';1.0;;B
Frequency of 'Declaration SUBMITTED by EMPLOYEE' resulting in 'Declaration REJECTED by PRE_APPROVER';Frequency of activity 'Declaration SUBMITTED by EMPLOYEE' for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs;81;;A
Percentage of 'Declaration SUBMITTED by EMPLOYEE' with amounts above 100 euros;Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all cases;1.0;;B
Number of 'Declaration SUBMITTED by EMPLOYEE' made per year;"ERROR: computing metric {'count': ""activity == 'Declaration SUBMITTED by EMPLOYEE'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Declaration SUBMITTED by EMPLOYEE' that lead to a 'Request Payment';Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all 'Request Payment';1.0;;B
Frequency of 'Declaration SUBMITTED by EMPLOYEE' followed by 'Payment Handled';Frequency of activity 'Declaration SUBMITTED by EMPLOYEE' for cases where activity 'Payment Handled' occurs;10043;;B
Percentage of 'Declaration SUBMITTED by EMPLOYEE' that are not dismissed;"ERROR: computing metric {'count': ""activity == 'Declaration SUBMITTED by EMPLOYEE'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity != 'Declaration REJECTED by *'""}";;;C
Number of 'Declaration SUBMITTED by EMPLOYEE' grouped by 'org:role';Number of 'Declaration SUBMITTED by EMPLOYEE' activities grouped by the last value of org:role;ADMINISTRATION:5;"{""ADMINISTRATION"":5,""EMPLOYEE"":328,""MISSING"":32,""SUPERVISOR"":5,""UNDEFINED"":11161}";A
Number of 'Declaration SUBMITTED by EMPLOYEE' grouped by 'org:role';Number of 'Declaration SUBMITTED by EMPLOYEE' activities grouped by the last value of org:role;EMPLOYEE:328;"{""ADMINISTRATION"":5,""EMPLOYEE"":328,""MISSING"":32,""SUPERVISOR"":5,""UNDEFINED"":11161}";A
