Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' followed by 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;;B
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' that are preceded by 'Declaration SUBMITTED by EMPLOYEE';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;1.0;;B
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;;A
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' with amounts above 100 euros;Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities > 100 where ma is the last value of case:Amount;1.0;;B
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' by 'STAFF MEMBER';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all cases;;;D
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' made per year;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' that are followed by 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;;B
Average number of 'Declaration FOR_APPROVAL by ADMINISTRATION' in a month;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'aggregation': 'average', 'group_by': 'month'}";;;C
Total 'Declaration FOR_APPROVAL by ADMINISTRATION' done by 'ADMINISTRATION';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities == 'ADMINISTRATION' where ma is the last value of org:role;0.0;;B
Ratio of 'Declaration FOR_APPROVAL by ADMINISTRATION' over 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;;B
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' followed by 'Request Payment';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Request Payment';0.0;;B
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' that lead to 'Payment Handled';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities for cases where activity 'Payment Handled' occurs;1.0;;B
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' from all 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.0;;A
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' in relation to 'Declaration REJECTED by PRE_APPROVER';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs;0.0;;A
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' with an increment in case amount;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > previous_case:Amount'}";;;C
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' with appeal;Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Appeal';;;D
Average number of 'Declaration FOR_APPROVAL by ADMINISTRATION' that are followed by 'Declaration APPROVED by ADMINISTRATION';the average of the number of times `ACTIVITY` == 'Declaration FOR_APPROVAL by ADMINISTRATION' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Declaration APPROVED by ADMINISTRATION';0.0;;B
Occasions how often the 'Declaration FOR_APPROVAL by ADMINISTRATION' is performed before 'Declaration APPROVED by BUDGET OWNER';Frequency of activity 'Declaration FOR_APPROVAL by ADMINISTRATION' for cases where activity 'Declaration APPROVED by BUDGET OWNER' occurs;1.0;;B
The ratio of 'Declaration FOR_APPROVAL by ADMINISTRATION' that are not eventually followed by 'Payment Handled';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all cases where 'Payment Handled' does not happen;0.0;;B
